--Fold 1:
--Epoch 17/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2917, Val Acc 0.9150, Best Acc 0.915
--Epoch 18/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2883, Val Acc 0.9150, Best Acc 0.915
--Epoch 19/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2853, Val Acc 0.9150, Best Acc 0.915
--Epoch 20/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2828, Val Acc 0.9150, Best Acc 0.915
--Epoch 21/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2805, Val Acc 0.9150, Best Acc 0.915
--Epoch 22/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2785, Val Acc 0.9150, Best Acc 0.915
--Epoch 23/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2767, Val Acc 0.9150, Best Acc 0.915
--Epoch 24/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2752, Val Acc 0.9150, Best Acc 0.915
--Epoch 25/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2738, Val Acc 0.9150, Best Acc 0.915
--Epoch 26/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2726, Val Acc 0.9150, Best Acc 0.915
--Epoch 27/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2715, Val Acc 0.9175, Best Acc 0.9175
--Epoch 28/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2705, Val Acc 0.9200, Best Acc 0.92
--Epoch 29/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2697, Val Acc 0.9200, Best Acc 0.92
--Epoch 30/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2689, Val Acc 0.9200, Best Acc 0.92
--Epoch 31/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2682, Val Acc 0.9200, Best Acc 0.92
--Epoch 32/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2675, Val Acc 0.9200, Best Acc 0.92
--Epoch 33/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2670, Val Acc 0.9200, Best Acc 0.92
--Epoch 34/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2665, Val Acc 0.9200, Best Acc 0.92
--Epoch 35/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2660, Val Acc 0.9200, Best Acc 0.92
--Epoch 36/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2657, Val Acc 0.9200, Best Acc 0.92
--Epoch 37/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2653, Val Acc 0.9200, Best Acc 0.92
--Epoch 38/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2650, Val Acc 0.9200, Best Acc 0.92
--Epoch 39/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2648, Val Acc 0.9200, Best Acc 0.92
--Epoch 40/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2646, Val Acc 0.9225, Best Acc 0.9225
--Removing layers: [6, 7, 8, 9, 10]
Pruned model to 7 layers.
--Epoch 1/40: Train Loss 0.0874, Train Acc 0.4550, Val Loss 2.0158, Val Acc 0.6900, Best Acc 0.69
--Epoch 2/40: Train Loss 0.0420, Train Acc 0.8881, Val Loss 1.1491, Val Acc 0.8150, Best Acc 0.815
--Epoch 3/40: Train Loss 0.0216, Train Acc 0.9569, Val Loss 0.8326, Val Acc 0.8400, Best Acc 0.84
--Epoch 4/40: Train Loss 0.0130, Train Acc 0.9756, Val Loss 0.6779, Val Acc 0.8675, Best Acc 0.8675
--Epoch 5/40: Train Loss 0.0086, Train Acc 0.9938, Val Loss 0.5865, Val Acc 0.8825, Best Acc 0.8825
--Epoch 6/40: Train Loss 0.0061, Train Acc 0.9981, Val Loss 0.5258, Val Acc 0.8850, Best Acc 0.885
--Epoch 7/40: Train Loss 0.0044, Train Acc 0.9994, Val Loss 0.4826, Val Acc 0.8950, Best Acc 0.895
--Epoch 8/40: Train Loss 0.0033, Train Acc 1.0000, Val Loss 0.4507, Val Acc 0.8975, Best Acc 0.8975
